shop_id,shop,lat,lng,address,city,state,zip,type
1,Happy Leaf Collective,34.0442797,-118.4323648,2131,Los Angeles,CA,90025,Medical Marijuana Dispensary
2,Mecca Natural Medicine,34.0354029,-118.3670099,5650,Los Angeles,CA,90016,Medical Marijuana Dispensary
3,LOUD,34.0438973,-118.3086318,1570,Los Angeles,CA,90006,Medical Marijuana Dispensary
4,HOLLYWEED,34.0445981,-118.352096,5142,Los Angeles,CA,90019,Medical Marijuana Dispensary
5,THC-OPEN to 3AM,33.9963099,-118.4280272,4127,Los Angeles,CA,90066,Medical Marijuana Dispensary
6,Venice Beach Care Center,34.0008123,-118.4660974,410,Venice,CA,90291,Medical Marijuana Dispensary
7,ThirdEye Wellness,33.9925454,-118.4231952,4509,Los Angeles,CA,90066,Medical Marijuana Dispensary
8,420 Manchester,33.9615802,-118.3498413,420,Inglewood,CA,90301,Medical Marijuana Dispensary
9,NATURES CURE INC (PRE-ICO),33.9450117,-118.3724138,5300,Los Angeles,CA,90045,Medical Marijuana Dispensary
10,GWC 35 CAP,33.9412469,-118.3433849,10418,Inglewood,CA,90303,Medical Marijuana Dispensary
11,Main Spot,33.9364035,-118.2736522,10950,LOS ANGELES,CA,90061,Medical Marijuana Dispensary
12,WhittierHotBox,33.9174453,-118.0489905,13261,Whittier,CA,90605,Medical Marijuana Dispensary
13,ELAC,34.0173479,-118.1439611,5910,Los Angeles,CA,90022,Medical Marijuana Dispensary
14,Mr. 5 Grams 8th!,34.035696,-118.250401,732,Los Angeles,CA,90021,Medical Marijuana Dispensary
15,Green Stop 35 Cap,34.0344982,-118.2164644,2314,Los Angeles,CA,90023,Medical Marijuana Dispensary
16,MR NICE GUY,34.0376503,-118.2575445,1126,LOS ANGELES,CA,90015,Medical Marijuana Dispensary
17,CHR,34.0734353,-118.1637715,5470,Los Angeles,CA,90032,Medical Marijuana Dispensary
18,Organic Green Treatment Center,34.0216046,-118.3290906,3655,Los Angeles,CA,90018,Medical Marijuana Dispensary
19,LAXCC PRE-ICO,33.9619254,-118.4207356,8332,Los Angeles,CA,90045,Medical Marijuana Dispensary
20,ShowGrow Santa Ana,33.7201192,-117.8467455,1625,Santa Ana,CA,92705,Medical Marijuana Dispensary
21,Off The Pier,33.7049713,-117.9897008,17731,Huntington Beach,CA,92647,Medical Marijuana Dispensary
22,Tender Greens Patient Group of San Pedro,33.7376845,-118.2913613,655,San Pedro,CA,90731,Medical Marijuana Dispensary
23,Diamond Hills Reserve,33.8872596,-117.5056812,12689,Riverside,CA,92503,Medical Marijuana Dispensary
24,Root 19,33.8790804,-118.1426419,17043,Bellflower,CA,90706,Medical Marijuana Dispensary
25,BEACH Center - South Bay,33.8586372,-118.2953382,1115,Gardena,CA,90248,Medical Marijuana Dispensary
26,Mr. Greens,33.790262,-118.2742569,910,Wilmington,CA,90744,Medical Marijuana Dispensary
27,Nu Remedy Health Care,34.1493613,-118.1200892,1470,Pasadena,CA,91106,Medical Marijuana Dispensary
28,Acme Silver Place,34.0190321,-117.9589345,261,Hacienda Heights,CA,91745,Medical Marijuana Dispensary
29,LA MART,33.98485,-118.278649,6001,Los Angeles,CA,90003,Medical Marijuana Dispensary
30,MMD,34.098507,-118.329754,1515,Hollywood,CA,90028,Medical Marijuana Dispensary
31,GLD - Torrance,33.8199472,-118.3081005,1658,Torrance,CA,90501,Medical Marijuana Dispensary
32,Movals Members Only,33.9395693,-117.2428003,24050,Moreno Valley,CA,92553,Medical Marijuana Dispensary
33,A NEW SPIRIT - Perris,33.7804888,-117.2450357,620,Perris,CA,92570,Medical Marijuana Dispensary
34,So-Cal Co-op,34.185286,-118.6229465,6322,Woodland Hills,CA,91367,Medical Marijuana Dispensary
35,West Valley Caregivers,34.1640889,-118.6289824,23067,Woodland Hills,CA,91364,Medical Marijuana Dispensary
36,West Valley Patients Group,34.1644899,-118.6282757,23043,Woodland Hills,CA,91364,Medical Marijuana Dispensary
37,MNR Co-Op,34.1659145,-118.624429,22831,Woodland Hills,CA,91364,Medical Marijuana Dispensary
38,Green Angel Pre-Ico,34.1660442,-118.6219913,22748,Woodland Hills,CA,91364,Medical Marijuana Dispensary
39,THE LOFT,34.1664058,-118.5929619,5338,Woodland Hills,CA,91364,Medical Marijuana Dispensary
40,THeClinik Caregivers,34.1931734,-118.5874602,20844,Canoga Park,CA,91306,Medical Marijuana Dispensary
41,COAST TO COAST COLLECTIVE,34.199973,-118.5981,7127,Canoga Park,CA,91303,Medical Marijuana Dispensary
42,Canogas Finest,34.2023346,-118.5927125,7230,Canoga Park,CA,91303,Medical Marijuana Dispensary
43,iSHOP,34.2087676,-118.5959016,21305,Canoga Park,CA,91304,Medical Marijuana Dispensary
44,SFVPC,34.2199945,-118.5900842,20947,Canoga Park,CA,91304,Medical Marijuana Dispensary
45,LA Patient Dispensary AKA 2am Dispensary,34.2194006,-118.5979825,8239,Canoga Park,CA,91304,Medical Marijuana Dispensary
46,DC Collective,34.216828,-118.59548,8053,Canoga Park,CA,91304,Medical Marijuana Dispensary
47,OBC,34.2083264,-118.5702291,20040,Winnetka,CA,91306,Medical Marijuana Dispensary
48,TMC,34.2080285,-118.5530868,7550,Reseda,CA,91335,Medical Marijuana Dispensary
