strain_id,strain,species_id,rating
1,100-Og,3,4
2,98-White-Widow,3,4.7
3,1024,2,4.4
4,13-Dawgs,3,4.2
5,24K-Gold,3,4.6
6,3-Bears-Og,1,0
7,3-Kings,3,4.4
8,303-Og,1,4.2
9,3D-Cbd,2,4.6
10,3X-Crazy,1,4.4
11,3Rd-Coast-Panama-Chunk,3,4.7
12,501St-Og,3,4.5
13,5Th-Element,1,4.4
14,707-Headband,3,4.3
15,8-Ball-Kush,1,4.3
16,818-Og,1,4.7
17,831-Og,1,5
18,9-Pound-Hammer,1,4.5
19,91-Krypt,1,4.7
20,A-10,1,3.8
21,A-Dub,3,4.4
22,A-Train,3,4.1
23,Acdc,3,4.5
24,Ak-47,3,4.2
25,Ak-48,3,4
26,Aberdeen,3,4.3
27,Abusive-Og,1,4.5
28,Acapulco-Gold,2,4.5
29,Ace-Killer-Og,1,4.8
30,Ace-Of-Spades,1,4.1
31,Aceh,2,4.4
32,Acid,3,4.4
33,Acid-Dough,2,5
34,Afcrack,3,3.4
35,Afghan-Big-Bud,1,4
36,Afghan-Cow,2,4.3
37,Afghan-Diesel,3,3.7
38,Afghan-Hawaiian,1,4.1
39,Afghan-Haze,3,4.3
40,Afghan-Kush,1,4.1
41,Afghan-Skunk,1,4.3
42,Afghan-Sour-Kush,1,4.5
43,Afghan-Widow,3,4.5
44,Afghani,1,4.3
45,Afgahni-Bullrider,1,4.4
46,Afghani-Cbd,1,4.6
47,Afghanica,3,4.1
48,Afghanimal,1,5
49,Afghooey,1,4.1
50,Afgoo,1,4.1
51,Afgooey,1,4.3
52,Afkansastan,1,3.8
53,Afpak,3,4.2
54,African,2,3.9
55,Afrikaner,2,0
56,Afternoon-Delight,3,4.8
57,Afwreck,3,4.2
58,Agent-Orange,3,4.2
59,Agent-Tangie,3,4.5
60,Air-Jordan-Og,1,4.5
61,Als-Dream,3,3
62,Alaska,2,4.6
63,Alaska-Thunder-Grape,3,5
64,Alaskan-Ice,2,4.4
65,Alaskan-Thunder-Fuck,2,4.4
66,Albert-Walker,3,4.7
