se_id,strain_id,effect_id
1,1,2
2,2,10
3,3,14
4,4,13
5,5,8
6,6,9
7,7,10
8,8,10
9,9,14
10,10,10
11,11,4
12,12,10
13,13,10
14,14,5
15,15,10
16,16,10
17,17,9
18,18,10
19,19,10
20,20,10
21,21,10
22,22,2
23,23,10
24,24,8
25,25,8
26,26,14
27,27,10
28,28,8
29,29,10
30,30,10
31,31,2
32,32,2
33,33,12
34,34,13
35,35,5
36,36,6
37,37,5
38,38,13
39,39,11
40,40,10
41,41,11
42,42,9
43,43,2
44,44,10
45,45,6
46,46,10
47,47,10
48,48,9
49,49,14
50,50,10
51,51,10
52,52,14
53,53,10
54,54,5
55,55,9
56,56,12
57,57,5
58,58,8
59,59,14
60,60,8
61,61,12
62,62,10
63,63,13
64,64,5
65,65,8
66,66,10
67,67,10
68,68,10
69,69,6
70,70,8
71,71,9
72,72,5
73,73,10
74,74,10
75,75,5
76,76,8
77,77,8
78,78,10
79,79,10
80,80,5
81,81,10
82,82,10
83,83,5
84,84,14
85,85,8
86,86,10
87,87,14
88,88,8
89,89,10
90,90,4
91,91,13
92,92,5
93,93,4
94,94,4
95,95,9
96,96,4
97,97,10
98,98,14
99,99,10
100,100,14
101,101,6
102,102,10
103,103,10
104,104,4
105,105,14
106,106,8
107,107,9
108,108,8
109,109,11
110,110,10
111,111,9
112,112,8
113,113,10
114,114,10
115,115,10
116,116,8
117,117,14
118,118,8
119,119,10
120,120,5
121,121,8
122,122,10
123,123,10
124,124,5
125,125,2
126,126,8
127,127,8
128,128,8
129,129,8
130,130,5
131,131,14
132,132,10
133,133,10
134,134,5
135,135,6
136,136,10
137,137,12
138,138,14
139,139,8
140,140,10
141,141,12
142,142,8
143,143,8
144,144,10
145,145,1
146,146,10
147,147,10
148,148,10
149,149,10
150,150,10
151,151,5
152,152,5
153,153,11
154,154,8
155,155,10
156,156,5
157,157,14
158,158,11
159,159,14
160,160,10
161,161,9
162,162,5
163,163,10
164,164,10
165,165,10
166,166,8
167,167,8
168,168,10
169,169,10
170,170,10
171,171,5
172,172,1
173,173,14
174,174,10
175,175,5
176,176,11
177,177,8
178,178,10
179,179,14
180,180,10
181,181,10
182,182,8
183,183,10
184,184,10
185,185,10
186,186,8
187,187,12
188,188,9
189,189,10
190,190,10
191,191,10
192,192,8
193,193,10
194,194,14
195,195,14
196,196,2
197,197,10
198,198,2
199,199,10
200,200,10
201,201,10
202,202,8
203,203,12
204,204,14
205,205,10
206,206,12
207,207,10
208,208,8
209,209,10
210,210,10
211,211,10
212,212,10
213,213,5
214,214,8
215,215,10
216,216,8
217,217,10
218,218,10
219,219,10
220,220,5
221,221,8
222,222,2
223,223,10
224,224,10
225,225,10
226,226,10
227,227,10
228,228,10
229,229,10
230,230,10
231,231,10
232,232,10
233,233,5
234,234,13
235,235,10
236,236,8
237,237,8
238,238,8
239,239,10
240,240,10
241,241,10
242,242,11
243,243,8
244,244,10
245,245,10
246,246,12
247,247,10
248,248,8
249,249,8
250,250,2
251,251,5
252,252,8
253,253,10
254,254,8
255,255,5
256,256,10
257,257,10
258,258,10
259,259,10
260,260,5
261,261,8
262,262,9
263,263,5
264,264,10
265,265,2
266,266,11
267,267,8
268,268,10
269,269,8
270,270,10
271,271,10
272,272,5
273,273,7
274,274,10
275,275,8
276,276,10
277,277,14
278,278,10
279,279,6
280,280,10
281,281,8
282,282,5
283,283,10
284,284,4
285,285,5
286,286,10
287,287,10
288,288,14
289,289,10
290,290,10
291,291,8
292,292,10
293,293,8
294,294,14
295,295,10
296,296,10
297,297,10
298,298,10
299,299,10
300,300,11
301,301,10
